id,person_id,kind,area,area_detail,time_spent,date_done,date_created
877,56,Theoretical,Administration work,Board of Directors,180,2010-01-11,2010-03-13 15:25:17
878,56,Theoretical,Administration work,Board of Directors,240,2010-01-12,2010-03-13 15:25:54
879,56,Theoretical,Administration work,Board of Directors,210,2010-01-13,2010-03-13 15:26:58
880,56,Theoretical,Administration work,Board of Directors,300,2010-01-14,2010-03-13 15:28:38
881,27,Meeting,Community work,Community work,180,2010-03-06,2010-03-13 18:17:12
882,27,Practical (repetitive),House work,Garden,60,2010-03-10,2010-03-13 18:18:22
883,27,Theoretical,Community work,Community work,60,2010-03-10,2010-03-13 18:18:52
884,25,Practical (once),House technic work,House technic work,480,2010-03-11,2010-03-13 19:52:34
885,25,Theoretical,House technic work,House technic work,120,2010-03-10,2010-03-13 19:56:10
886,25,Practical (once),House technic work,House technic work,90,2010-03-12,2010-03-13 20:17:55
887,25,Theoretical,Administration work,Board of Directors,90,2010-03-12,2010-03-13 20:21:53
888,3,Meeting,Community work,Community work,300,2010-03-05,2010-03-14 09:48:08
889,43,Practical (repetitive),House work,Cleaning,60,2010-03-06,2010-03-14 11:30:07
890,43,Practical (repetitive),Community work,Cake Day,120,2010-03-10,2010-03-14 11:31:04
891,43,Practical (repetitive),Community work,Cake Day,60,2010-03-09,2010-03-14 11:31:31
892,30,Practical (once),Communication work,Public relations,150,2010-03-12,2010-03-14 16:21:26
893,30,Practical (once),Communication work,Public relations,150,2010-03-12,2010-03-14 16:21:27
894,37,Practical (once),House work,Garden,90,2010-03-11,2010-03-14 17:06:33
895,37,Practical (repetitive),House work,Cleaning,60,2010-03-12,2010-03-14 17:07:12
896,37,Practical (repetitive),Other,,30,2010-03-13,2010-03-14 17:22:13
897,37,Practical (repetitive),House work,House work,30,2010-03-17,2010-03-14 17:21:40
898,12,Practical (repetitive),House work,House work,240,2010-03-11,2010-03-14 20:43:00
899,12,Practical (once),Community work,Other,180,2010-03-10,2010-03-14 20:52:32
900,15,Theoretical,Administration work,Supervisory Board,120,2010-03-14,2010-03-14 23:09:33
901,47,Practical (once),House technic work,Interior planning,240,2010-03-11,2010-03-15 18:51:18
902,47,Theoretical,House work,Garden,60,2010-03-12,2010-03-15 18:51:53
903,49,Meeting,House technic work,House technic work,150,2010-03-03,2010-03-15 19:28:38
905,49,Theoretical,House work,Cooking,120,2010-03-04,2010-03-15 19:34:08
907,49,Theoretical,House work,Cooking,120,2010-01-21,2010-03-15 19:36:10
908,49,Theoretical,House work,Cooking,120,2010-01-14,2010-03-15 19:36:52
909,49,Meeting,Administration work,General meeting ,120,2010-01-17,2010-03-15 19:38:12
910,49,Meeting,Community work,Cohabitation,120,2010-03-09,2010-03-15 19:39:35
911,49,Meeting,Community work,Community gathering,120,2010-01-21,2010-03-15 19:40:37
912,49,Practical (once),House work,Garden,240,2010-01-01,2010-03-15 19:51:17
913,49,Theoretical,House technic work,Mobility,300,2010-03-01,2010-03-15 19:57:54
914,18,Theoretical,Communication work,Hotel,60,2010-03-04,2010-03-17 08:54:51
915,18,Meeting,Communication work,Hotel,180,2010-03-12,2010-03-17 08:55:32
916,18,Theoretical,Communication work,Communication work,120,2010-03-07,2010-03-17 08:56:40
917,18,Practical (once),Communication work,Public relations,180,2010-03-12,2010-03-17 08:57:36
919,18,Meeting,Community work,Community work,180,2010-03-06,2010-03-17 08:59:36
920,52,Practical (repetitive),Community work,Other,180,2010-03-11,2010-03-17 10:40:23
921,37,Practical (repetitive),House work,Cleaning,30,2010-03-19,2010-03-20 05:29:47
922,44,Practical (once),Communication work,Events,270,2010-03-15,2010-03-20 10:21:43
923,57,Theoretical,Administration work,Board of Directors,60,2010-01-01,2010-03-20 11:48:24
924,57,Meeting,Administration work,Board of Directors,240,2010-01-04,2010-03-20 11:52:40
925,57,Meeting,Administration work,Board of Directors,180,2010-01-05,2010-03-20 11:52:49
926,57,Meeting,Community work,Community building,120,2010-01-06,2010-03-20 11:52:59
927,57,Meeting,Administration work,Board of Directors,120,2010-01-07,2010-03-20 11:53:12
928,57,Theoretical,Administration work,Board of Directors,300,2010-01-09,2010-03-20 11:53:20
929,57,Meeting,Administration work,Board of Directors,210,2010-01-10,2010-03-20 11:53:31
930,57,Theoretical,Administration work,Board of Directors,210,2010-01-11,2010-03-20 11:54:54
931,57,Theoretical,Administration work,Board of Directors,60,2010-01-16,2010-03-20 11:55:53
932,57,Meeting,Administration work,Board of Directors,240,2010-01-19,2010-03-20 11:56:47
933,57,Meeting,Community work,Community gathering,150,2010-01-21,2010-03-20 11:57:54
934,57,Meeting,Administration work,Board of Directors,210,2010-01-24,2010-03-20 12:02:25
935,57,Theoretical,Administration work,Board of Directors,120,2010-01-26,2010-03-20 12:02:35
936,57,Meeting,Administration work,Board of Directors,180,2010-03-07,2010-03-20 12:02:10
937,57,Theoretical,Administration work,Board of Directors,120,2010-03-08,2010-03-20 12:03:08
938,45,Meeting,Administration work,Supervisory Board,90,2010-03-15,2010-03-20 18:14:51
939,8,Practical (once),House work,Garden,600,2010-03-19,2010-03-22 18:57:49
940,8,Practical (repetitive),House work,Garden,600,2010-03-20,2010-03-22 18:58:22
941,44,Practical (once),Other,,90,2010-03-24,2010-03-26 19:41:47
942,44,Practical (once),Other,,90,2010-03-26,2010-03-26 19:42:45
943,37,Practical (once),Communication work,Events,90,2010-03-24,2010-03-28 19:16:46
944,37,Theoretical,Other,,30,2010-03-24,2010-03-28 19:18:58
945,37,Meeting,Communication work,Events,90,2010-03-28,2010-03-28 19:20:46
946,8,Meeting,House work,Garden,90,2010-03-29,2010-04-03 00:24:21
947,8,Meeting,House technic work,Outdoor planning,120,2010-04-01,2010-04-03 00:24:52
948,8,Meeting,House work,Garden,120,2010-03-30,2010-04-03 00:25:55
949,8,Practical (once),House work,Garden,120,2010-04-02,2010-04-03 00:26:43
950,8,Theoretical,House work,Garden,300,2010-03-26,2010-04-03 00:27:50
951,8,Practical (once),House technic work,House technic work,480,2010-04-04,2010-04-04 19:25:25
952,8,Theoretical,House work,Garden,300,2010-04-09,2010-04-10 23:43:35
953,8,Practical (once),House work,Garden,540,2010-04-17,2010-04-19 20:12:25
954,8,Theoretical,House technic work,House technic work,90,2010-04-18,2010-04-19 20:13:20
955,23,Meeting,House technic work,House technic work,120,2010-04-01,2010-01-02 15:38:52
956,23,Practical (repetitive),House work,House work,150,2010-04-02,2010-01-02 15:34:01
957,23,Theoretical,Communication work,Events,120,2010-04-02,2010-01-02 15:36:19
958,23,Theoretical,House technic work,Outdoor planning,90,2010-04-05,2010-01-02 15:40:37
959,23,Practical (repetitive),House technic work,Outdoor planning,60,2010-04-08,2010-01-02 15:41:34
960,23,Practical (repetitive),House technic work,Outdoor planning,30,2010-04-09,2010-01-02 15:42:33
961,23,Practical (repetitive),House technic work,House technic work,30,2010-04-30,2010-01-02 15:43:41
962,23,Practical (repetitive),House technic work,House technic work,30,2010-04-30,2010-01-02 15:44:41
963,23,Practical (repetitive),House technic work,House technic work,120,2010-01-02,2010-01-02 15:45:38
964,16,Theoretical,Administration work,Other,60,2010-01-04,2010-01-09 12:29:35
965,16,Theoretical,Communication work,Events,120,2010-01-02,2010-01-09 12:30:45
966,16,Practical (once),House work,Garden,60,2010-01-09,2010-01-09 12:32:00
967,16,Practical (once),Community work,Community action,180,2010-01-01,2010-01-09 12:39:03
968,23,Practical (once),House technic work,House technic work,90,2010-01-06,2010-01-11 18:31:27
969,23,Practical (repetitive),House work,Cooking,90,2010-01-06,2010-01-11 18:32:15
970,23,Practical (once),Communication work,Events,120,2010-01-09,2010-01-11 18:33:40
971,23,Practical (once),Communication work,Events,30,2010-01-10,2010-01-11 18:34:46
972,23,Meeting,House technic work,House technic work,120,2010-01-06,2010-01-12 16:28:13
973,12,Practical (repetitive),House technic work,House technic work,60,2010-01-03,2010-01-21 13:51:21
